State,Honey producing colonies,Yield per colony,Production,Stocks December 15,Average price per pound,Value of production,Year
HI,10,92,920,285,1.58,1454,2007
ID,92,41,3772,1848,1.08,4074,2007
IL,9,63,567,374,2.4,1361,2007
IN,7,51,357,100,1.39,496,2007
IA,26,81,2106,1221,1.26,2654,2007
KS,14,40,560,196,1.12,627,2007
KY,4,61,244,54,2.08,508,2007
LA,29,89,2581,413,1.08,2787,2007
ME,9,26,234,59,1.39,325,2007
MI,72,64,4608,2350,1.14,5253,2007
MN,130,68,8840,2564,0.99,8752,2007
MS,15,105,1575,189,0.9,1418,2007
MO,13,47,611,141,1.05,642,2007
MT,135,68,9180,2203,0.94,8629,2007
NE,45,49,2205,1477,0.98,2161,2007
NV,10,28,280,67,3.6,1008,2007
NJ,9,57,513,185,2.17,1113,2007
NM,6,59,354,138,1.36,481,2007
NY,56,57,3192,1947,1.42,4533,2007
NC,11,45,495,69,2.25,1114,2007
ND,420,74,31080,9013,0.92,28594,2007
OH,14,61,854,376,1.75,1495,2007
OR,44,43,1892,1041,1.21,2289,2007
PA,25,42,1050,326,1.63,1712,2007
SD,255,52,13260,10608,0.93,12332,2007
TN,7,65,455,114,1.95,887,2007
TX,105,82,8610,1550,0.95,8180,2007
UT,25,39,975,224,1.12,1092,2007
VT,5,64,320,96,1.26,403,2007
VA,6,46,276,63,2.35,649,2007
WA,46,44,2024,648,1.25,2530,2007
WV,5,48,240,79,1.96,470,2007
WI,60,84,5040,3024,1.15,5796,2007
WY,43,80,3440,894,1.03,3543,2007
Other,18,49,873,271,2.53,2209,2007
US,2442,60.8,148482,52484,1.032,153233,2007
AL,9,66,594,214,1.86,1105,2008
AZ,25,64,1600,336,1.25,2000,2008
AR,28,75,2100,525,1.31,2751,2008
CA,360,51,18360,4039,1.41,25888,2008
CO,27,45,1215,656,1.5,1823,2008
FL,150,79,11850,1304,1.3,15405,2008
GA,55,71,3905,312,1.49,5818,2008
HI,10,90,900,225,1.48,1332,2008
ID,90,40,3600,1440,1.42,5112,2008
IL,8,56,448,116,2.46,1102,2008
IN,6,67,402,129,1.61,647,2008
IA,24,62,1488,580,1.56,2321,2008
KS,10,61,610,128,1.52,927,2008
KY,4,39,156,27,2.36,368,2008
LA,29,77,2233,246,1.33,2970,2008
ME,7,42,294,79,1.5,441,2008
MI,71,73,5183,2021,1.43,7412,2008
MN,122,78,9516,2569,1.39,13227,2008
MS,14,98,1372,110,1.3,1784,2008
MO,11,53,583,152,1.78,1038,2008
MT,134,70,9380,4596,1.37,12851,2008
NE,36,67,2412,1254,1.42,3425,2008
NV,10,29,290,52,2.37,687,2008
NJ,9,40,360,122,1.58,569,2008
NM,6,48,288,95,1.48,426,2008
NY,50,70,3500,1260,1.5,5250,2008
NC,12,52,624,137,2.12,1323,2008
ND,390,90,35100,8424,1.35,47385,2008
OH,14,53,742,371,1.88,1395,2008
OR,50,43,2150,1097,1.48,3182,2008
PA,23,48,1104,276,1.65,1822,2008
SD,225,95,21375,11970,1.34,28643,2008
TN,7,61,427,149,2.04,871,2008
TX,77,64,4928,1380,1.34,6604,2008
UT,28,48,1344,242,1.56,2097,2008
VT,5,66,330,119,1.79,591,2008
VA,6,42,252,45,2.18,549,2008
WA,41,44,1804,722,1.5,2706,2008
